Review_ID,Date,Customer_Name,Review_Text,True_Topic,True_Sentiment
1120,2023-09-02,User_120,Hidden fees at checkout were annoying.,Pricing,Negative
1294,2023-09-02,User_294,Hidden fees at checkout were annoying. Not happy.,Pricing,Negative
1280,2023-09-02,User_280,Best value for money in the market. Will buy again.,Pricing,Positive
1293,2023-09-02,User_293,They refused to honor the warranty. Just okay.,Support,Negative
1290,2023-09-03,User_290,The chat agent was very polite and helpful.,Support,Positive
1289,2023-09-04,User_289,The chat agent was very polite and helpful.,Support,Positive
1133,2023-09-05,User_133,"Got it on sale, absolute steal.",Pricing,Positive
1119,2023-09-06,User_119,"The courier called me before arriving, great service. Very disappointed.",Shipping,Positive
1265,2023-09-07,User_265,Paid for express shipping but it took 10 days.,Shipping,Negative
1108,2023-09-08,User_108,Paid for express shipping but it took 10 days.,Shipping,Negative
1247,2023-09-08,User_247,Best value for money in the market. Very disappointed.,Pricing,Positive
1011,2023-09-09,User_11,"The build quality is premium, feels heavy and durable.",Quality,Positive
1283,2023-09-09,User_283,Tracking was accurate and delivery was smooth.,Shipping,Positive
1068,2023-09-09,User_68,"The build quality is premium, feels heavy and durable. Will buy again.",Quality,Positive
1113,2023-09-09,User_113,Worth every penny.,Pricing,Positive
1001,2023-09-10,User_1,Color is totally different from the website. Just okay.,Quality,Negative
1072,2023-09-10,User_72,Buttons feel loose and wobbly. Very disappointed.,Quality,Negative
1238,2023-09-10,User_238,"Been on hold for 45 minutes, no answer. Just okay.",Support,Negative
1234,2023-09-12,User_234,Buttons feel loose and wobbly.,Quality,Negative
1097,2023-09-13,User_97,Been using it for a month and it still looks new.,Quality,Positive
1271,2023-09-14,User_271,Color is totally different from the website.,Quality,Negative
1279,2023-09-16,User_279,Worth every penny.,Pricing,Positive
1183,2023-09-17,User_183,"The build quality is premium, feels heavy and durable. Not happy.",Quality,Positive
1125,2023-09-17,User_125,Customer service solved my issue in 5 minutes.,Support,Positive
1269,2023-09-17,User_269,The chat agent was very polite and helpful. Very disappointed.,Support,Positive
1064,2023-09-17,User_64,Support staff was rude and unhelpful.,Support,Negative
1128,2023-09-18,User_128,Customer service solved my issue in 5 minutes. Will buy again.,Support,Positive
1103,2023-09-19,User_103,Customer service solved my issue in 5 minutes. Not happy.,Support,Positive
1005,2023-09-19,User_5,"The courier called me before arriving, great service.",Shipping,Positive
1286,2023-09-20,User_286,"Came in a sturdy box, very well packaged. Will buy again.",Shipping,Positive
1168,2023-09-20,User_168,Support staff was rude and unhelpful. Just okay.,Support,Negative
1056,2023-09-21,User_56,"Exceeded my expectations, looks exactly like the photos.",Quality,Positive
1038,2023-09-21,User_38,Been using it for a month and it still looks new. Will buy again.,Quality,Positive
1287,2023-09-21,User_287,They refused to honor the warranty.,Support,Negative
1222,2023-09-22,User_222,"Got it on sale, absolute steal. Not happy.",Pricing,Positive
1060,2023-09-23,User_60,Subscription price increased without notice. Will buy again.,Pricing,Negative
1073,2023-09-23,User_73,Subscription price increased without notice.,Pricing,Negative
1175,2023-09-23,User_175,Subscription price increased without notice.,Pricing,Negative
1135,2023-09-23,User_135,"Got a full refund instantly, no questions asked.",Support,Positive
1159,2023-09-23,User_159,Tracking was accurate and delivery was smooth. Very disappointed.,Shipping,Positive
1200,2023-09-24,User_200,"Got a full refund instantly, no questions asked.",Support,Positive
1074,2023-09-24,User_74,"The build quality is premium, feels heavy and durable.",Quality,Positive
1259,2023-09-25,User_259,"Got it on sale, absolute steal.",Pricing,Positive
1274,2023-09-26,User_274,Materials used are top notch. Very disappointed.,Quality,Positive
1248,2023-09-26,User_248,They refused to honor the warranty. Will buy again.,Support,Negative
1199,2023-09-26,User_199,Materials used are top notch. Just okay.,Quality,Positive
1267,2023-09-26,User_267,Worth every penny. Highly recommend!,Pricing,Positive
1075,2023-09-27,User_75,Way too expensive for what you get. Very disappointed.,Pricing,Negative
1020,2023-09-27,User_20,"Came in a sturdy box, very well packaged. Not happy.",Shipping,Positive
1236,2023-09-28,User_236,Customer service solved my issue in 5 minutes.,Support,Positive
1225,2023-09-28,User_225,"Got a full refund instantly, no questions asked.",Support,Positive
1190,2023-09-28,User_190,Materials used are top notch.,Quality,Positive
1164,2023-09-30,User_164,Worth every penny. Will buy again.,Pricing,Positive
1221,2023-09-30,User_221,Tracking number never worked. Very disappointed.,Shipping,Negative
1130,2023-09-30,User_130,"Came in a sturdy box, very well packaged. Highly recommend!",Shipping,Positive
1180,2023-10-01,User_180,"The build quality is premium, feels heavy and durable.",Quality,Positive
1235,2023-10-02,User_235,"The courier called me before arriving, great service.",Shipping,Positive
1037,2023-10-04,User_37,"Got a full refund instantly, no questions asked. Not happy.",Support,Positive
1188,2023-10-04,User_188,Way too expensive for what you get. Not happy.,Pricing,Negative
1115,2023-10-05,User_115,"The build quality is premium, feels heavy and durable.",Quality,Positive
1181,2023-10-05,User_181,"Got a full refund instantly, no questions asked.",Support,Positive
1010,2023-10-06,User_10,Customer service solved my issue in 5 minutes.,Support,Positive
1065,2023-10-09,User_65,"Came in a sturdy box, very well packaged. Not happy.",Shipping,Positive
1264,2023-10-09,User_264,The material feels cheap and plasticky. Not happy.,Quality,Negative
1079,2023-10-12,User_79,The chat agent was very polite and helpful.,Support,Positive
1198,2023-10-12,User_198,"Got it on sale, absolute steal.",Pricing,Positive
1028,2023-10-12,User_28,Best value for money in the market. Very disappointed.,Pricing,Positive
1047,2023-10-13,User_47,"The courier called me before arriving, great service. Highly recommend!",Shipping,Positive
1143,2023-10-13,User_143,"The courier called me before arriving, great service. Highly recommend!",Shipping,Positive
1030,2023-10-13,User_30,Tracking number never worked.,Shipping,Negative
1023,2023-10-13,User_23,Way too expensive for what you get.,Pricing,Negative
1182,2023-10-14,User_182,"Got it on sale, absolute steal.",Pricing,Positive
1138,2023-10-14,User_138,"The build quality is premium, feels heavy and durable. Will buy again.",Quality,Positive
1029,2023-10-15,User_29,"Been on hold for 45 minutes, no answer. Highly recommend!",Support,Negative
1257,2023-10-16,User_257,Tracking was accurate and delivery was smooth. Highly recommend!,Shipping,Positive
1223,2023-10-16,User_223,"Got it on sale, absolute steal.",Pricing,Positive
1241,2023-10-17,User_241,Worth every penny. Very disappointed.,Pricing,Positive
1240,2023-10-17,User_240,"Got it on sale, absolute steal. Will buy again.",Pricing,Positive
1112,2023-10-18,User_112,Arrived damaged because the box was crushed.,Shipping,Negative
